Retailer,Brand,Segment,Gender,Category,Product Types,Details,Normalized Color,Color Option Name,Activewear,Pattern,Full Price ($),SKUs Available,Season,Description,Care information,Sizes,Return-Risk Probability
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,Leggings,"High Rise, Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Performance,Plain,15.26,7/7,ss25,"Refresh your gym wardrobe with these soft high-waisted leggings! 
Pants and leggings Length: Full length Dimensions of the
Template: S
Reason: Solid color Composition of the
warnings: Keep away from","temperatura massima 40 °C; non lavare a secco; Non asciugare in asciugatrice; stirare a freddo; non candeggiare; lavare con colori simili; stirare al rovescio
materiali: 80% nylon, 20% elastan Sicurezza","XXS, M, L, XS, S, XL, XXL",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,Leggings,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Non-activewear,Plain,16.44,7/7,ss25,"A pair of flared leg stretch leggings with a thick waistband
Trousers and leggings Fit: REGULAR
Length: Full length Dimensions of the
Template: S
Closing: nobody
Reason: Solid color Composition of the
warnings: Keep away from","temperatura massima 40 °C; non lavare a secco; non asciugare in asciugatrice; stirare a freddo; Non candeggiare; lavare con colori simili; stirare a rovescio
materiali: 80% nylon, 20% elastan Sicurezza","S, L, XS, XL, M, XXL, XXS",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,"Jeans, Jeans > Straight","Apparel, Fabrication, Lengths, Denim, Multi-Packs, Bottoms, Velvet",Black,Sheer black,Non-activewear,Plain,21.13,8/8,ss25,"A pair of straight leg jeans available in 3 different lengths, with pockets, belt loops and zip fly
Jeans Fit: REGULAR
Length: Full length Dimensions of the
Template: 10
Reason: Solid color Composition of the
Materials: INDACO / BLACK VELVET / MEDIUM BLUE / GRAY / BLUE / BLUE","temperatura massima 30 °C; non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; Non candeggiare; lavare al rovescio; lavare con colori simili; evitare il contatto con capi chiari poiché il colore potrebbe trasferirsi; rimodellare quando il capo è ancora umido; stendere per asciugare
Chiusura: bottone
SCURO: 99% cotone, 1%","42, 46, 38, 44, 40, 50, 52, 48",
Primark - non-transactional site (IT),Primark,Value,Women,Tops,Sweaters/Jumpers ,"V Neck, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Green,Green,Non-activewear,Plain,30.53,5/5,ss25,"Knitted, with V-neck, sleeves with zip and wide ribbed finish
Neckline sweater: V-neck
Wearability: Regular Length
Sleeve: Full length Dimensions of the
Template: S
Reason: Solid color Composition of the
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; non candeggiare; lavare solo a mano; asciugare in piano
materiali: 70% lana, 30% nylon Sicurezza","XL, L, S, M, XXL",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,Sweatpants,"Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Neutral,Oats,Non-activewear,Plain,21.13,6/6,ss25,"Straight leg with press studs, tube access and internal zip puller at the waist
Sweatpants Fit: Regular Dimensions of the
Template: S
Reason: Solid color Composition of the
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; stirare a freddo; Non candeggiare; temperatura massima 30 °C; lavare con colori simili; stirare al rovescio
materiali: 65% poliestere, 35% cotone Sicurezza","S, XL, M, XS, L, XXL",
Primark - non-transactional site (IT),Primark,Value,Women,Outerwear,"Coats > Trench, Coats","Double Breasted, Hooded, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Neutral,Beige,Non-activewear,Plain,41.09,5/5,ss25,"It features magnetic closures, zip on the sleeves and welt pockets
Coats and jackets Sleeve length: Full length Dimensions of the
Template: M-12/14 Without hood
Reason: Solid color Composition of the
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; stirare a freddo; Non candeggiare; temperatura massima 30 °C; lavare con colori simili
ESTERNO: 100% poliestere,
FODERA: 100% poliestere Sicurezza","S, M, XXL, L, XL",
Primark - non-transactional site (IT),Primark,Value,Women,Outerwear,"Jackets > Gilets, Jackets","Sleeveless, Round Neck, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Black,Black,Non-activewear,Plain,21.13,5/5,ss25,"Make any outfit chic with this long crew neck vest: is the look of the season
Jackets Fit: Regular Length
Sleeve: Sleeveless Dimensions of the
Template: S
Reason: Solid color Composition of the
Lining: 100%","temperatura massima 40 °C; Non lavare a secco; non asciugare in asciugatrice; stirare a freddo; non candeggiare; lavare con colori simili; lavare al rovescio
Chiusura: bottone
CORPO: 95% poliestere, 5% elastan,","M, XL, L, S, XS",
Primark - non-transactional site (IT),Primark,Value,Women,Tops,Sweaters/Jumpers ,"V Neck, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Green,Green,Non-activewear,Plain,30.53,6/6,ss25,"Knitted, with V-neck, sleeves with zip and wide ribbed finish
Neckline sweater: V-neck
Wearability: Regular Length
Sleeve: Full length Dimensions of the
Template: S-8/10
Reason: Solid color Composition of the
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; non candeggiare; lavare solo a mano; asciugare in piano
materiali: 80% lana, 20% nylon Sicurezza","XXL, XL, L, S, M, XS",
Primark - non-transactional site (IT),Primark,Value,Women,Outerwear,"Coats > Trench, Coats","Double Breasted, Hooded, Outerwear, Apparel, Sleeves, Fabrication, Multi-Packs",Neutral,Beige,Non-activewear,Plain,52.83,6/6,ss25,"Adaptive trench coat with magnetic closures, zip on the sleeves and belt at the waist
Coats and jackets Sleeve length: Full length Dimensions of the
Template: S-8/10 Without hood
Reason: Solid color Wind resistant composition of the
warning: This product contains a magnetic element
In case of an impiant pacemaker or defibrillator, consult your doctor before using the product; the magnetic element on this product is securely attached to prevent ingestion; if the magnetic element on this product damages, enamel the product; If the magnetic part is inhaled, consult a doctor immediately Safety
warnings: Keep away from","non lavare a secco; non asciugare in asciugatrice; stirare a freddo; Non candeggiare; temperatura massima 30 °C; lavare con colori simili
ESTERNO: 100% poliestere,
FODERA: 100% poliestere","XXL, S, XS, L, XL, M",
Primark - non-transactional site (IT),Primark,Value,Women,Tops,Shirts ,"Long Sleeve, Apparel, Fits, Sleeves, Fabrication, Tops, Multi-Packs",Black,Black,Non-activewear,Plain,14.09,6/6,ss25,"A shirt with collar, long sleeves and comfortable fit, perfect to wear on the beach! 
Shirts Sleeve Length: Full length Dimensions of the
Template: S-10/12 Coordinated set
Reason: Solid color Composition of the","non lavare a secco; non asciugare in asciugatrice; stirare a freddo; Non candeggiare; temperatura massima 30 °C; lavare con colori simili; stendere per asciugare
materiali: 100%","50/52, 44/46, 46/48, 38/40, 42/44, 54/56",
Primark - non-transactional site (IT),Primark,Value,Women,Swim,"Swimsuits  > Other Swimsuits, Swimsuits ","Apparel, Fabrication, Underwear / Swim, Multi-Packs",Black,Black,Non-activewear,Plain,18.78,6/6,ss25,"Swim in style with this modeling swimsuit with bow
Swimwear and cover-up Model size: S-10/12
Reason: Solid color Composition of the","temperatura massima 40 °C; non lavare a secco; non asciugare in asciugatrice; non candeggiare; non stirare; lavare con colori simili; asciugare in piano
ESTERNO: 85% poliestere, 15% elastan,
FODERA: 100% poliestere,
RETE: 86% poliestere, 14%","38/40, 54/56, 44/46, 42/44, 50/52, 46/48",
Primark - non-transactional site (IT),Primark,Value,Women,Footwear,"Boots > Cowboy, Boots","Flat, Fabrication, Footwear",White,Turtledove,Non-activewear,Product has no pattern data,32.87,6/6,ss25,"Elegant pointed cowboy boots
Paula Echevarra Closure Brand Boots: ZIP
Reason: Solid color Composition of the
Upper: fabric,
Internal: fabric / synthetic material,",SUOLA: materiale,"36, 40, 39, 38, 37, 41",
Primark - non-transactional site (IT),Primark,Value,Women,Footwear,"Sandals > Other Sandals, Sandals","Flat, Fabrication, Footwear",White,White,Non-activewear,Product has no pattern data,10.57,6/6,ss25,"Sandals with buckle and two straps: a must for your Christmas look! 
Sandals Closure: Buckle
Reason: Solid color Composition of the
Upper: synthetic material,
Internal: synthetic material / fabric,",SUOLA: materiale,"38, 37, 39, 40, 41, 36",
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,Pajama Sets,"Apparel, Sleeves, Fabrication, Multi-Packs",Pink,Pink,Non-activewear,Plain,19.96,7/7,ss25,"A classic boyfriend pajamas in jersey with shirt-style knit and stretch trousers
Complete pajamas Neckline: With collar Length
Sleeve: full length
Length: Full length Dimensions of the
Template: S- 10/12
Reason: Solid color Composition of the
warnings: Keep away from","Non candeggiare; non lavare a secco; non asciugare in asciugatrice; lavare con colori simili; temperatura massima 30 °C; lavare al rovescio; stirare a freddo; stirare al rovescio
materiali: 64% poliestere, 32% viscosa, 4% elastane Sicurezza","44/46, 54/56, 42/44, 46/48, 38/40, 36/38, 50/52",
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,Pajama Sets,"Short Sleeve, Apparel, Sleeves, Fabrication, Multi-Packs",Blue,Light blue,Non-activewear,Stripes,19.96,6/6,ss25,"With these satin pajamas, going to sleep has never been so beautiful! 
Complete pajamas Neckline: With collar Length
Sleeve: Short sleeves
Length: Composition of the shorts
Materials: Part
warnings: Keep away from
We have created a guide to make you better understand the fibers of our products and some key terms related to our ambitions in this aim. 
to know more
here
The Primark Cares strategy represents our commitment to doing the best, every day, making more sustainable products than everyone can allow, reducing our environmental impact on the planet and offering the right wage for the people who make our clothes. 
. 
For more information on Primark Cares click","non lavare a secco; non asciugare in asciugatrice; lavare con colori simili; Non candeggiare; lavare al rovescio; stirare a freddo; stirare al rovescio; temperatura massima 30 °C
SUPERIORE: 100% poliestere, PARTE
INFERIORE: 100% poliestere Sicurezza
Prodotto realizzato con almeno il 50% di poliestere riciclato","36/38, 50/52, 46/48, 44/46, 38/40, 42/44",
Primark - non-transactional site (IT),Primark,Value,Women,Underwear,"Bras > Bralette, Bras","Apparel, Fabrication, Underwear / Swim, Multi-Packs",White,White,Non-activewear,Lace,7.04,6/6,ss25,"Microfibre underwear set with triangle bralette and thong! 
Loincloth: 100%
For more information on Primark Cares click
. 
The Primark Cares strategy represents our commitment to doing the best, every day, making more sustainable products than everyone can allow, reducing our environmental impact on the planet and offering the right wage for the people who make our clothes. 
to know more
here
We have created a guide to make you better understand the fibers of our products and some key terms related to our ambitions in this aim. ","non candeggiare; non lavare a secco; Non asciugare in asciugatrice; Temperatura massima 40 °C; lavare con colori simili; stirare a freddo; lavare prima del primo utilizzo
REGGISENO: 81% poliestere, 19% elastan, ESTERNO
PERIZOMA: 81% poliestere, 19% elastane, FODERA
RIVESTIMENTO DEL REGGISENO: REALIZZATO CON ALMENO IL 50% DI POLIESTERE RICICLATO, FODERA DELLA COPPA REALIZZATA CON ALMENO IL 50% DI POLIESTERE RICICLATO, RIVESTIMENTO DELLO SLIP REALIZZATO CON ALMENO IL 50% DI","38/40, 50/52, 46/48, 44/46, 42/44, 36/38",
Primark - non-transactional site (DE),Primark,Value,Women,Accessories,"Hair Accessories, Hair Accessories > Head Bands","4-Pack, Fabrication",Black,Black,Non-activewear,Plain,1.76,1/1,ss25,These headbands in a pack of four are an absolute must-have,,One Size,
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,"Pajama Tops, Pajama Tops > Camis/Vests","V Neck, Sleeveless, Apparel, Sleeves, Fabrication, Multi-Packs",Pink,Pink,Non-activewear,Plain,5.89,6/6,ss25,"Short tank top with V-neck, perforated details and adjustable thin straps
Neck pajama sweaters: V-neck Length
Sleeve: Thin straps Dimensions of the
Template: S- 10/12 Composition of the","non candeggiare; non lavare a secco; non asciugare in asciugatrice; temperatura massima 40 °C; lavare con colori simili; non stirare
CORPO: 95% nylon, 5% elastane,
FODERA: 90% nylon, 10%","50/52, 36/38, 42/44, 44/46, 46/48, 38/40",
Primark - non-transactional site (IT),Primark,Value,Women,Accessories,"Hair Accessories, Hair Accessories > Head Bands",Fabrication,Red,Red,Non-activewear,Spots,5.87,1/1,ss25,"A headband that you will never stop wearing! 
Friends Type: Minnie Composition of the
warnings: Not suitable for children under the age of three
Small parts, danger of","materiali: 65% poliestere, 35% plastica",One Size,
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,Pajama Sets,"Apparel, Sleeves, Fabrication, Multi-Packs",Brown,Mocha,Non-activewear,Plain,19.96,8/8,ss25,"A classic boyfriend pajamas in jersey with shirt-style knit and stretch trousers
Complete pajamas Neckline: With collar Length
Sleeve: full length
Length: Full length Dimensions of the
Template: S- 10/12
Reason: Solid color Composition of the
warnings: Keep away from","Non candeggiare; non lavare a secco; non asciugare in asciugatrice; lavare con colori simili; temperatura massima 30 °C; lavare al rovescio; stirare a freddo; stirare al rovescio
materiali: 64% poliestere, 32% viscosa, 4% elastane Sicurezza","58/60, 38/40, 46/48, 50/52, 44/46, 54/56, 36/38, 42/44",
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,Pajama Sets,"Short Sleeve, Apparel, Sleeves, Fabrication, Multi-Packs",Pink,Light pink,Non-activewear,Stripes,19.96,7/7,ss25,"Short satin pajamas with collar and elastic
Complete pajamas Neckline: With collar Length
Sleeve: Short sleeves
Length: Shorts Size of the
Template: S-10/12
Reason: Striped composition of the
warnings: Keep away from","Non candeggiare; non lavare a secco; non asciugare in asciugatrice; temperatura massima 30 °C; lavare con colori simili; lavare al rovescio; stirare a freddo; stirare al rovescio
materiali: 100% poliestere Sicurezza","36/38, 50/52, 46/48, 42/44, 44/46, 38/40, 54/56",
Primark - non-transactional site (IT),Primark,Value,Women,Accessories,Hair Accessories,Fabrication,Multicolour,Multicolored,Non-activewear,Abstract,1.76,1/1,ss25,New hairstyles coming,"Accessori per capelli Composizione dei materiali: 50% elastan, 25% poliestere, 25%",One Size,
Primark - non-transactional site (IT),Primark,Value,Women,Footwear,"Sandals > Other Sandals, Sandals","Flat, Fabrication, Footwear",Black,Black,Non-activewear,Product has no pattern data,14.09,6/6,ss25,"Flat sandals with slip-on design and thick woven strap
Sandals Closure: nobody
Reason: Solid color Composition of the
Upper: synthetic material,
Internal: synthetic material,",SUOLA: materiale,"38, 36, 39, 41, 37, 40",
Primark - non-transactional site (IT),Primark,Value,Women,Dresses,Shift ,"Mini Length, Apparel, Sleeves, Fabrication, Lengths, Sleeveless, Multi-Packs",Black,Black,Non-activewear,Plain,18.78,6/6,ss25,"A classic minidress with high collar and cap sleeves for a sculptural silhouette
Neckline dresses: Polo neck
Wearability: Regular Length
Sleeve: Sleeveless
Length: Mini Dimensions of the
Template: S
Reason: Solid color Composition of the
Materials: OTHERS","non lavare a secco; non asciugare in asciugatrice; Stirare a freddo; non candeggiare; Temperatura massima 30 °C; lavare con colori simili; rimodellare quando il capo è ancora umido; stirare al rovescio
COLORI: 77% cotone, 18% poliestere, 5% elastane,
NERO: 79% cotone, 17% poliestere, 4%","L, S, XL, XS, XXS, M",
Primark - non-transactional site (IT),Primark,Value,Women,Bottoms,Leggings,"High Rise, Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Non-activewear,Plain,9.39,7/7,ss25,"High-waisted stretch leggings with flared leg silhouette
We have created a guide to make you better understand the fibers of our products and some key terms related to our ambitions in this aim. 
to know more
here
The Primark Cares strategy represents our commitment to doing the best, every day, making more sustainable products than everyone can allow, reducing our environmental impact on the planet and offering the right wage for the people who make our clothes. 
. 
Trousers and leggings Fit: REGULAR
Length: Full length Dimensions of the
Template: S
Closing: nobody
Reason: Solid color Composition of the
For more information on Primark Cares click","Non lavare a secco; Non asciugare in asciugatrice; non candeggiare; lavare con colori simili; lavare al rovescio; stirare al rovescio; evitare il contatto con capi chiari poiché il colore potrebbe trasferirsi; temperatura massima 30 °C; stirare a freddo
NERO: 95% cotone, 5% elastane, GRIGIO
MÉLANGE: 90% cotone, 5% viscosa, 5%
Prodotto realizzato con almeno il 50% di cotone proveniente dal Primark Cotton Project","XS, XXL, XL, M, L, XXS, S",
Primark - non-transactional site (IT),Primark,Value,Women,Accessories,"Hair Accessories, Hair Accessories > Head Bands",Fabrication,Pink,Pink,Non-activewear,Abstract,1.06,1/1,ss25,"Terry hair band with a bow in the center
warnings: Keep away from",,One Size,
Primark - non-transactional site (IT),Primark,Value,Women,Nightwear,Pajama Sets,"Long Sleeve, Apparel, Sleeves, Fabrication, Multi-Packs",Brown,Mocha,Non-activewear,Plain,28.18,6/6,ss25,"Satin pajamas with long-sleeved shirt and straight leg trousers
Complete pajamas Neckline: With collar Length
Sleeve: full length
Length: Full length Dimensions of the
Template: S-10/12 Composition of the
warnings: Keep away from","Non candeggiare; non lavare a secco; non asciugare in asciugatrice; temperatura massima 30 °C; lavare con colori simili; lavare al rovescio; rimodellare quando il capo è ancora umido; stirare a freddo; stirare al rovescio
TOP: 96% poliestere, 4% elastan,
PANTALONI: 100% poliestere Sicurezza","36/38, 46/48, 38/40, 42/44, 44/46, 50/52",
Modna Kasta (UA),Primark,Mass,Unisex adults,All in ones,Bodies,"Round Neck, Apparel, Sleeves, Fabrication, Multi-Packs",Red,Red,Non-activewear,Plain,2.87,1/1,ss25,"Soft and pleasant to the touch
With a round neckline and buttons at the bottom for easy dressing and removal
This bodysuit is a comfortable and practical option for your baby for every day, suitable for different weather conditions and can be used both on its own and as a base layer of clothing under other things.
Size: 18/24 months (92 cm)
Article of goods: 322075011
Affiliation: For children
Seasonality: All season
Color: Red
Sleeve length: short
Pattern: Inscription
Clasp: the button
Quantity in packing, piece: 1
Weight, kg: 0. 1 kg",Матеріал :,92см,
Primark - non-transactional site (US),Primark,Value,Men,Accessories,"Glasses/Sunglasses > Other Glasses/Sunglasses, Glasses/Sunglasses",Fabrication,Black,Black,Non-activewear,Plain,16.00,1/1,ss25,"Complete your accessories refresh with these cool navigator shades
Sunglasses Kem Kem Print: Solid Color
Small
Lens Information: 100% protection from UVA and UVB ultra violet rays
Not for use against mechanical impact hazards.; Lens
Information: 100% protection from UVA and UVB ultraviolet rays; Not for use against mechanical impact hazards; Not for night driving or under dull light","Wipe clean
Do not wash Do not bleach
Do not tumble dry
Do not wring or twist
Do not dry clean.
: 90% Acetate 10% Copper WARNING! Not suitable for children under 3 years",One Size,
Primark - non-transactional site (US),Primark,Value,Girls,Outerwear,"Jackets > Trucker, Jackets","Outerwear, Apparel, Sleeves, Fabrication, Denim, Multi-Packs",Blue,Blue,Non-activewear,Plain,20.00,7/7,ss25,"Nail their summer outerwear style with this cute denim jacket
Coats and Jackets Model Size: 3/4Yrs
Closure: Snap
Print: Solid Color","Cool iron
Do not bleach
Do not dry clean
Do not tumble dry
Max temperature 100°F/40°C
Wash similar colors together
Wash in mesh bag.; Do not bleach
Iron on the reverse
Max temperature 85F/30C
Wash before first use
Warm iron
Wash inside out.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash before first use; Wash similar colors together; Wash Inside Out; Avoid contact with light colors as color may transfer; Reshape while damp; Line dry
Max temperature 100F/40C
Wash dark colors separately
Iron on the reverse.
: 100% Cotton Fire
Safety: WARNING! Keep away from","1.5-2Y, 6-7Y, 4-5Y, 2-3Y, 5-6Y, 3-4Y, 7-8Y",
Primark - non-transactional site (US),Primark,Value,Girls,Bottoms,Leggings,"3-Pack, Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Yellow,Yellow,Non-activewear,Plain,10.00,7/7,ss25,"Three pairs of leggings with stretch waists
Pants and Leggings Print: Print","Cool Iron; Do not bleach; Do not dry-clean; Do not tumble dry; Iron on the reverse; Wash before first use; Wash similar colors together
: 92% Cotton 8% Elastane Fire
Safety: WARNING! Keep away from","7-8Y, 4-5Y, 1.5-2Y, 2-3Y, 5-6Y, 6-7Y, 3-4Y",
Primark - non-transactional site (US),Primark,Value,Boys,Bottoms,"Trousers, Trousers > Other Trousers","Apparel, Fabrication, Lengths, Multi-Packs, Bottoms",Black,Black,Non-activewear,Plain,10.00,8/8,ss25,"They'll get tons of year-round wear with these straight leg essentials
Pants Fit: Regular
Closure: Zip
Print: Solid Color","Do not bleach
Do not dry clean
Do not tumble dry
Wash before first use
Wash similar colors together
Max temperature 85F/30C
Cool iron
Reshape whilst damp.; Do not dry-clean; Do not tumble dry
Do not dry-clean
Wash in mesh bag
Wash inside out
Iron on the reverse.; Maximum Temperature 40*C; Wash similar colors together; Wash before first use; Cool iron
Max temperature 100°F/40°C
Wash in mesh bag.
: 98% Cotton 2% Elastane Fire
Safety: WARNING! Keep away from","8-9Y, 13-14Y, 14-15Y, 12-13Y, 7-8Y, 11-12Y, 9-10Y, 10-11Y",
